citation_number,location,plate_state,plate_number,vin,issue_date,due_date,status,amount_due,more_info_url,issuing_agency,comments,violations,image_urls,scraped_at
10515155,E University Ave,MI,EHK3540,,2025-08-21 10:38:00-04:00,,OPEN,75.00,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6ImVkNDBlM2MzLTljN2UtZjAxMS04ZTU3LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI","PHOTO(S)TAKENTOWAWAYZONE,SIGNS","[""A04 C126 10:59 (1) A04-PARKED IN NO PARKING ZONE SIGNED""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=ed40e3c3-9c7e-f011-8e57-001dd8b724b7&MediaId=e9d2c9d0-9c7e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=ed40e3c3-9c7e-f011-8e57-001dd8b724b7&MediaId=f1d2c9d0-9c7e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=ed40e3c3-9c7e-f011-8e57-001dd8b724b7&MediaId=54de4ed7-9c7e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=ed40e3c3-9c7e-f011-8e57-001dd8b724b7&MediaId=75de4ed7-9c7e-f011-8e57-001dd8b724b7""]",2025-09-24 17:21:49.743322-04:00
10515159,Church St,MI,EFC3285,,2025-08-21 10:46:00-04:00,,OPEN(UPHELD),75.00,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6ImZjMjgxNDliLTlkN2UtZjAxMS04ZTU3LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",PHOTO(S)TAKENSEC10:1384(3)TAB4,"[""A29 C126 10:138 (3) A29-PARKING OTHER""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=fc28149b-9d7e-f011-8e57-001dd8b724b7&MediaId=d12f149b-9d7e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=fc28149b-9d7e-f011-8e57-001dd8b724b7&MediaId=a95ba7a1-9d7e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=fc28149b-9d7e-f011-8e57-001dd8b724b7&MediaId=b35ba7a1-9d7e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=fc28149b-9d7e-f011-8e57-001dd8b724b7&MediaId=d75ba7a1-9d7e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=fc28149b-9d7e-f011-8e57-001dd8b724b7&MediaId=db5ba7a1-9d7e-f011-8e57-001dd8b724b7""]",2025-09-24 17:22:00.028923-04:00
10515165,Washtenaw Ct,MI,EHB3806,,2025-08-21 10:54:00-04:00,,OPEN(UPHELD),75.00,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6IjI4NTk4YWZkLTllN2UtZjAxMS04ZTU3LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",PHOTO(S)TAKENSEC10:1384(3)TAB4,"[""A29 C126 10:138 (3) A29-PARKING OTHER""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=28598afd-9e7e-f011-8e57-001dd8b724b7&MediaId=1a618afd-9e7e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=28598afd-9e7e-f011-8e57-001dd8b724b7&MediaId=2aed9003-9f7e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=28598afd-9e7e-f011-8e57-001dd8b724b7&MediaId=2ced9003-9f7e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=28598afd-9e7e-f011-8e57-001dd8b724b7&MediaId=2eed9003-9f7e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=28598afd-9e7e-f011-8e57-001dd8b724b7&MediaId=33ed9003-9f7e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=28598afd-9e7e-f011-8e57-001dd8b724b7&MediaId=6ded9003-9f7e-f011-8e57-001dd8b724b7""]",2025-09-24 17:22:11.089228-04:00
10515169,S Forest Ave,NY,DCC7933,,2025-08-21 11:07:00-04:00,,OPEN,70.00,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6ImMxMWIyZGFhLWEwN2UtZjAxMS04ZTU3LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",SPACE:4822NOPAYMENTSINCE:10:49,"[""A01 C126 10:72 (1) A01-PARKED AT EXPIRED METER""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=c11b2daa-a07e-f011-8e57-001dd8b724b7&MediaId=b55a9c27-a17e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=c11b2daa-a07e-f011-8e57-001dd8b724b7&MediaId=b75a9c27-a17e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=c11b2daa-a07e-f011-8e57-001dd8b724b7&MediaId=ad1eeb2d-a17e-f011-8e57-001dd8b724b7""]",2025-09-24 17:22:19.078910-04:00
10515173,Monroe St,MI,1PAX03,,2025-08-21 11:54:00-04:00,,OPEN,70.00,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6IjMzYjc5MzE3LWE3N2UtZjAxMS04ZTU3LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",SPACE:4863NOPAYMENTSINCE:10:57,"[""A01 C126 10:72 (1) A01-PARKED AT EXPIRED METER""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=33b79317-a77e-f011-8e57-001dd8b724b7&MediaId=ca7c3825-a77e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=33b79317-a77e-f011-8e57-001dd8b724b7&MediaId=cc7c3825-a77e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=33b79317-a77e-f011-8e57-001dd8b724b7&MediaId=cf7c3825-a77e-f011-8e57-001dd8b724b7""]",2025-09-24 17:22:27.983881-04:00
10515179,Hill St,MI,25667RF,,2025-08-21 12:08:00-04:00,,OPEN,70.00,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6IjAxNmNhNTA5LWE5N2UtZjAxMS04ZTU3LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",SPACE:4854NOPAYMENTSINCE:10:01,"[""A01 C126 10:72 (1) A01-PARKED AT EXPIRED METER""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=016ca509-a97e-f011-8e57-001dd8b724b7&MediaId=96064b1c-a97e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=016ca509-a97e-f011-8e57-001dd8b724b7&MediaId=99064b1c-a97e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=016ca509-a97e-f011-8e57-001dd8b724b7&MediaId=9c064b1c-a97e-f011-8e57-001dd8b724b7""]",2025-09-24 17:22:39.206669-04:00
10515188,Washtenaw Ct,MI,CAT12,,2025-08-21 14:34:00-04:00,,CLOSED DISMISSED,,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6IjZhNjllNTZlLWJkN2UtZjAxMS04ZTU3LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",SPACE:5654NOPAYMENTSINCE:12:52,"[""A01 C126 10:72 (1) A01-PARKED AT EXPIRED METER""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=6a69e56e-bd7e-f011-8e57-001dd8b724b7&MediaId=f25d0a7b-bd7e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=6a69e56e-bd7e-f011-8e57-001dd8b724b7&MediaId=d6630781-bd7e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=6a69e56e-bd7e-f011-8e57-001dd8b724b7&MediaId=dd630781-bd7e-f011-8e57-001dd8b724b7""]",2025-09-24 16:54:04.540809-04:00
10515189,E University Ave,MI,0NNZ93,,2025-08-21 14:49:00-04:00,,CLOSED DISMISSED,,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6ImRhODZkYWIzLWJmN2UtZjAxMS04ZTU3LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",SPACE:4645NOPAYMENTSINCE:2:08,"[""A01 C126 10:72 (1) A01-PARKED AT EXPIRED METER""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=da86dab3-bf7e-f011-8e57-001dd8b724b7&MediaId=60ed74ba-bf7e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=da86dab3-bf7e-f011-8e57-001dd8b724b7&MediaId=61ed74ba-bf7e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=da86dab3-bf7e-f011-8e57-001dd8b724b7&MediaId=a6946fc0-bf7e-f011-8e57-001dd8b724b7""]",2025-09-24 16:54:09.180098-04:00
10515209,S University Ave,MI,KFCV50,,2025-08-21 15:40:00-04:00,,OPEN,70.00,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6IjA1NmIzNWYxLWM2N2UtZjAxMS04ZTU3LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",SPACE:5827NOPAYMENTSINCE:1:42,"[""A01 C126 10:72 (1) A01-PARKED AT EXPIRED METER""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=056b35f1-c67e-f011-8e57-001dd8b724b7&MediaId=226d35f1-c67e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=056b35f1-c67e-f011-8e57-001dd8b724b7&MediaId=576f35f1-c67e-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=056b35f1-c67e-f011-8e57-001dd8b724b7&MediaId=8b7035f1-c67e-f011-8e57-001dd8b724b7""]",2025-09-24 16:54:36.041179-04:00
10515213,S Division St,MI,6PEC88,,2025-08-25 10:03:00-04:00,,CLOSED DISMISSED,,https://annarbor.citationportal.com/Citation/Information?i=eyJhIjoiNWZlYWY0ODgtMWExYS1lZjExLThlNDEtMDAxZGQ4YjcyNGI3IiwiYyI6IjFkNzE3NTYzLWJjODEtZjAxMS04ZTU3LTAwMWRkOGI3MjRiNyJ9,"City of Ann Arbor, MI",SPACE:3482NOPAYMENTSINCE:9:30,"[""A01 C126 10:72 (1) A01-PARKED AT EXPIRED METER""]","[""https://annarbor.citationportal.com/Citation/Image?CitationId=1d717563-bc81-f011-8e57-001dd8b724b7&MediaId=3375b069-bc81-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=1d717563-bc81-f011-8e57-001dd8b724b7&MediaId=4275b069-bc81-f011-8e57-001dd8b724b7"", ""https://annarbor.citationportal.com/Citation/Image?CitationId=1d717563-bc81-f011-8e57-001dd8b724b7&MediaId=4575b069-bc81-f011-8e57-001dd8b724b7""]",2025-09-24 16:54:44.916544-04:00
